MovieID,Title,Genres,bert_text
1,Toy Story (1995),Animation|Children's|Comedy,Movie title: Toy Story (1995). Genres: Animation|Children's|Comedy
2,Jumanji (1995),Adventure|Children's|Fantasy,Movie title: Jumanji (1995). Genres: Adventure|Children's|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,Movie title: Grumpier Old Men (1995). Genres: Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama,Movie title: Waiting to Exhale (1995). Genres: Comedy|Drama
5,Father of the Bride Part II (1995),Comedy,Movie title: Father of the Bride Part II (1995). Genres: Comedy
6,Heat (1995),Action|Crime|Thriller,Movie title: Heat (1995). Genres: Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance,Movie title: Sabrina (1995). Genres: Comedy|Romance
8,Tom and Huck (1995),Adventure|Children's,Movie title: Tom and Huck (1995). Genres: Adventure|Children's
9,Sudden Death (1995),Action,Movie title: Sudden Death (1995). Genres: Action
10,GoldenEye (1995),Action|Adventure|Thriller,Movie title: GoldenEye (1995). Genres: Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,"Movie title: American President, The (1995). Genres: Comedy|Drama|Romance"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Movie title: Dracula: Dead and Loving It (1995). Genres: Comedy|Horror
13,Balto (1995),Animation|Children's,Movie title: Balto (1995). Genres: Animation|Children's
14,Nixon (1995),Drama,Movie title: Nixon (1995). Genres: Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,Movie title: Cutthroat Island (1995). Genres: Action|Adventure|Romance
16,Casino (1995),Drama|Thriller,Movie title: Casino (1995). Genres: Drama|Thriller
17,Sense and Sensibility (1995),Drama|Romance,Movie title: Sense and Sensibility (1995). Genres: Drama|Romance
18,Four Rooms (1995),Thriller,Movie title: Four Rooms (1995). Genres: Thriller
19,Ace Ventura: When Nature Calls (1995),Comedy,Movie title: Ace Ventura: When Nature Calls (1995). Genres: Comedy
20,Money Train (1995),Action,Movie title: Money Train (1995). Genres: Action
21,Get Shorty (1995),Action|Comedy|Drama,Movie title: Get Shorty (1995). Genres: Action|Comedy|Drama
22,Copycat (1995),Crime|Drama|Thriller,Movie title: Copycat (1995). Genres: Crime|Drama|Thriller
23,Assassins (1995),Thriller,Movie title: Assassins (1995). Genres: Thriller
24,Powder (1995),Drama|Sci-Fi,Movie title: Powder (1995). Genres: Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance,Movie title: Leaving Las Vegas (1995). Genres: Drama|Romance
26,Othello (1995),Drama,Movie title: Othello (1995). Genres: Drama
27,Now and Then (1995),Drama,Movie title: Now and Then (1995). Genres: Drama
28,Persuasion (1995),Romance,Movie title: Persuasion (1995). Genres: Romance
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"Movie title: City of Lost Children, The (1995). Genres: Adventure|Sci-Fi"
